9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,10,2,1,10,2,1,0,2,1,0,0,0,0,0,0
9,9,10,2,9,10,2,1,3,2,1,0,1,0,0,0
9,9,9,10,9,9,10,2,9,3,2,1,9,1,0,0
9,9,9,9,9,9,9,10,9,9,3,2,9,9,1,0
9,9,9,9,9,10,2,1,10,2,1,0,2,1,0,0
9,9,9,9,9,9,10,2,9,10,2,1,3,2,1,0
9,9,9,9,9,9,9,10,9,9,10,2,9,3,2,1
9,9,9,9,9,9,9,9,9,9,9,10,9,9,3,2
9,9,9,9,9,9,9,9,9,10,2,1,10,2,1,0
9,9,9,9,9,9,9,9,9,9,10,2,9,10,2,1
9,9,9,9,9,9,9,9,9,9,9,10,9,9,10,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
9,9,9,9,9,9,9,9,9,9,9,9,9,10,2,1
9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1,9,9,9,1,9,9,9,10,9,9,9,10,9,9,9
0,1,9,9,1,1,9,9,2,10,9,9,3,10,9,9
0,0,1,9,0,1,1,9,0,2,10,9,2,3,10,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1,9,9,9,1,9,9,9,1,9,9,9,10,9,9,9
0,1,9,9,0,1,9,9,1,1,9,9,2,10,9,9
0,0,1,9,0,0,1,9,0,1,1,9,0,2,10,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2,9,9,9,1,9,9,9,1,9,9,9,1,9,9,9
1,2,9,9,0,1,9,9,0,1,9,9,1,1,9,9
1,1,2,9,0,0,1,9,0,0,1,9,0,1,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,2,9,9,9,1,9,9,9,1,9,9,9
9,9,9,9,1,2,9,9,0,1,9,9,0,1,9,9
9,9,9,9,1,1,2,9,0,0,1,9,0,0,1,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1,9,9,9,10,9,9,9,10,9,9,9,9,9,9,9
1,1,9,9,2,10,9,9,3,10,9,9,9,9,9,9
0,1,1,9,0,2,10,9,2,3,10,9,9,9,9,9
1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1,1,9,9,1,9,9,9,10,9,9,9,10,9,9,9
